angle_deg,bonds,angles,dihedrals,vdw,total
-180.0000,0.395258,0.608629,1.047339,0.525853,2.577079
-179.0000,0.395258,0.608629,1.045432,0.525317,2.574636
-178.0000,0.395258,0.608629,1.042116,0.524649,2.570652
-177.0000,0.395258,0.608629,1.037400,0.523847,2.565134
-176.0000,0.395258,0.608629,1.031296,0.522910,2.558093
-175.0000,0.395258,0.608629,1.023822,0.521837,2.549546
-174.0000,0.395258,0.608629,1.014997,0.520627,2.539510
-173.0000,0.395258,0.608629,1.004846,0.519279,2.528012
-172.0000,0.395258,0.608629,0.993397,0.517795,2.515078
-171.0000,0.395258,0.608629,0.980680,0.516174,2.500741
-170.0000,0.395258,0.608629,0.966732,0.514418,2.485037
-169.0000,0.395258,0.608629,0.951590,0.512528,2.468005
-168.0000,0.395258,0.608629,0.935296,0.510507,2.449690
-167.0000,0.395258,0.608629,0.917895,0.508356,2.430138
-166.0000,0.395258,0.608629,0.899433,0.506079,2.409399
-165.0000,0.395258,0.608629,0.879962,0.503679,2.387528
-164.0000,0.395258,0.608629,0.859535,0.501159,2.364580
-163.0000,0.395258,0.608629,0.838208,0.498523,2.340617
-162.0000,0.395258,0.608629,0.816039,0.495774,2.315700
-161.0000,0.395258,0.608629,0.793090,0.492917,2.289894
-160.0000,0.395258,0.608629,0.769423,0.489956,2.263266
-159.0000,0.395258,0.608629,0.745103,0.486896,2.235886
-158.0000,0.395258,0.608629,0.720196,0.483741,2.207824
-157.0000,0.395258,0.608629,0.694772,0.480496,2.179154
-156.0000,0.395258,0.608629,0.668899,0.477164,2.149950
-155.0000,0.395258,0.608629,0.642649,0.473751,2.120286
-154.0000,0.395258,0.608629,0.616093,0.470260,2.090239
-153.0000,0.395258,0.608629,0.589304,0.466695,2.059886
-152.0000,0.395258,0.608629,0.562356,0.463060,2.029304
-151.0000,0.395258,0.608629,0.535323,0.459359,1.998569
-150.0000,0.395258,0.608629,0.508279,0.455595,1.967760
-149.0000,0.395258,0.608629,0.481297,0.451769,1.936952
-148.0000,0.395258,0.608629,0.454452,0.447884,1.906223
