# Selected AMBER GAFF2 parameters: c c2 c3 c1 ca ce hc ha hn ho n4 o oh cl br f
# Source: gaff2.dat (AmberTools 25, Version 2.2.20, March 2021)
#
# Atom types
#   c   = Sp2 C carbonyl group
#   c1  = Sp C (alkyne)
#   c2  = Sp2 C (non-aromatic, non-conjugated)
#   c3  = Sp3 C
#   ca  = Sp2 C in pure aromatic systems
#   ce  = Inner Sp2 C in conjugated systems
#   ha  = H bonded to sp2/sp C
#   hc  = H bonded to aliphatic C without electronegative groups
#   hn  = H bonded to N
#   ho  = H in hydroxyl group
#   n4  = Sp3 N with four connected atoms
#   o   = O with one connected atom (carbonyl)
#   oh  = O in hydroxyl group
#   cl  = Chlorine
#   br  = Bromine
#   f   = Fluorine

# Bond term:  E = K_r * (r - r_eq)^2
# format: type_i  type_j  K_r [kcal/mol/A^2]  r_eq [A]
[bonds]
br br   81.0000  2.5420
br c   114.3100  2.0128
br c2   147.7600  1.9054
br c3   123.3100  1.9805
br oh   145.4000  1.8690
c1 c1   699.1300  1.2095
c1 c3   284.5800  1.4656
c1 ca   325.6000  1.4400
c1 ce   336.1000  1.4144
c1 f   482.2000  1.2700
c1 ha   392.4300  1.0666
c1 n4   289.3000  1.4247
c2 c2   436.0000  1.3379
c2 c3   248.4000  1.5088
c2 ca   385.0500  1.3739
c2 ce   424.3000  1.3457
c2 cl   196.0400  1.7415
c2 f   350.6100  1.3375
c2 ha   357.2900  1.0882
c2 hc   393.9000  1.0870
c2 n4   213.3400  1.5205
c2 o   577.4000  1.2249
c2 oh   376.2300  1.3423
c3 c3   228.8900  1.5354
c3 ca   243.9100  1.5147
c3 ce   246.7900  1.5109
c3 cl   164.0000  1.8092
c3 f   334.2800  1.3512
c3 hc   345.2500  1.0962
c3 n4   215.8600  1.5167
c3 o   406.0500  1.3206
c3 oh   285.1500  1.4242
c  c   219.3700  1.5494
c  c2   308.4400  1.4406
c  c3   234.8500  1.5270
c  ca   262.8400  1.4907
c  ce   267.7600  1.4848
c  cl   156.8100  1.8266
c  f   321.7200  1.3623
c  n4   174.2000  1.5878
c  o   590.6000  1.2190
